"exp_name";"mse_hist";"mse_sketch"
fixed acidity * chlorides;0.009907;24.997044
fixed acidity * chlorides;0.001262;5.332226
fixed acidity * chlorides;0.000014;1.097845
fixed acidity * chlorides;0.000000;1720.821411
fixed acidity * chlorides;0.000000;1759.676758
fixed acidity * chlorides;0.000023;4.137813
fixed acidity * chlorides;0.000026;118.791405
fixed acidity * chlorides;0.000000;919.456909
fixed acidity * chlorides;0.064140;7.486524
fixed acidity * chlorides;0.003355;13.600080
fixed acidity * chlorides;0.000020;2.252128
fixed acidity * chlorides;0.003163;19.735016
fixed acidity * chlorides;0.000027;647.123657
fixed acidity * chlorides;0.000000;1051.784302
fixed acidity * chlorides;0.001469;38.999790
fixed acidity * chlorides;0.000000;1411.088989
fixed acidity * chlorides;0.003848;0.126393
fixed acidity * chlorides;0.000000;1557.129150
fixed acidity * chlorides;0.001590;280.493439
fixed acidity * chlorides;0.000969;49.296215
fixed acidity * chlorides;0.000009;338.002258
fixed acidity * chlorides;0.039398;12.054535
fixed acidity * chlorides;0.000000;1127.956299
fixed acidity * chlorides;0.000005;373.937653
fixed acidity * chlorides;0.000000;1038.264893
fixed acidity * chlorides;0.000000;1851.548584
fixed acidity * chlorides;0.000019;0.321582
fixed acidity * chlorides;0.000009;2.891819
fixed acidity * chlorides;0.001948;0.157451
fixed acidity * chlorides;0.001895;1.265654
fixed acidity * chlorides;0.042691;0.921332
fixed acidity * chlorides;0.000000;2614.356201
fixed acidity * chlorides;0.000014;6.719841
fixed acidity * chlorides;0.000001;241.201187
fixed acidity * chlorides;0.004141;20.317919
fixed acidity * chlorides;0.076601;7.872052
fixed acidity * chlorides;0.000000;193.231125
fixed acidity * chlorides;0.002604;38.430420
fixed acidity * chlorides;0.000000;1900.892334
fixed acidity * chlorides;0.000754;25.504606
fixed acidity * chlorides;0.029298;0.741557
fixed acidity * chlorides;0.001300;192.158386
fixed acidity * chlorides;0.003236;23.965292
fixed acidity * chlorides;0.007165;1.228123
fixed acidity * chlorides;0.001275;130.921753
fixed acidity * chlorides;0.002680;109.681404
fixed acidity * chlorides;0.036977;0.822840
fixed acidity * chlorides;0.000000;709.261169
fixed acidity * chlorides;0.000000;445.354828
fixed acidity * chlorides;0.000000;647.368103
fixed acidity * chlorides;0.000023;373.702148
fixed acidity * chlorides;0.000017;60.686352
fixed acidity * chlorides;0.000000;1377.620483
fixed acidity * chlorides;0.000000;2087.657227
